1,Neu5Aca2-8Neu5Acb-Sp17
2,Neu5Aca2-8Neu5Aca2-8Neu5Acb-Sp8
3,Neu5Gcb2-6Galb1-4GlcNAc-Sp8
4,Galb1-3GlcNAcb1-2Mana1-3(Galb1-3GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp19
5,Gala-Sp8
6,Glca-Sp8
7,Mana-Sp8
8,GalNAca-Sp8
9,Fuca-Sp8
10,Fuca-Sp9
11,Rha-Sp8
12,Neu5Aca-Sp8
13,Neu5Aca-Sp11
14,Neu5Acb-Sp8
15,Galb-Sp8
16,Glcb-Sp8
17,Manb-Sp8
18,GalNAcb-Sp8
19,GlcNAcb-Sp0
20,GlcNAcb-Sp8
21,GlcN(Gc)b-Sp8
22,Galb1-4GlcNAcb1-3(Galb1-4GlcNAcb1-6)GalNAca-Sp8
23,GlcNAcb1-3(GlcNAcb1-4)(GlcNAcb1-6)GlcNAc-Sp8
24,[3OSO3][6OSO3]Galb1-4[6OSO3]GlcNAcb-Sp0
25,[3OSO3][6OSO3]Galb1-4GlcNAcb-Sp0
26,[3OSO3]Galb1-4Glcb-Sp8
27,[3OSO3]Galb1-4[6OSO3]Glcb-Sp0
28,[3OSO3]Galb1-4[6OSO3]Glcb-Sp8
29,[3OSO3]Galb1-3(Fuca1-4)GlcNAcb-Sp8
30,[3OSO3]Galb1-3GalNAca-Sp8
31,[3OSO3]Galb1-3GlcNAcb-Sp8
32,[3OSO3]Galb1-4(Fuca1-3)GlcNAcb-Sp8
33,[3OSO3]Galb1-4[6OSO3]GlcNAcb-Sp8
34,[3OSO3]Galb1-4GlcNAcb-Sp0
35,[3OSO3]Galb1-4GlcNAcb-Sp8
36,[3OSO3]Galb-Sp8
37,[4OSO3][6OSO3]Galb1-4GlcNAcb-Sp0
38,[4OSO3]Galb1-4GlcNAcb-Sp8
39,6-H2PO3Mana-Sp8
40,[6OSO3]Galb1-4Glcb-Sp0
41,[6OSO3]Galb1-4Glcb-Sp8
42,[6OSO3]Galb1-4GlcNAcb-Sp8
43,[6OSO3]Galb1-4[6OSO3]Glcb-Sp8
44,Neu5Aca2-3[6OSO3]Galb1-4GlcNAcb-Sp8
45,[6OSO3]GlcNAcb-Sp8
46,Neu5Ac(9Ac)a-Sp8
47,Neu5Ac(9Ac)a2-6Galb1-4GlcNAcb-Sp8
48,Mana1-3(Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13
49,GlcNAcb1-2Mana1-3(GlcNAcb1-2Mana1-6)Manb1-4GlcNAcb1-4GlcNAcb-Sp13
